Make,Symboling,Body-Style,Num-of-Cylinders,City-MPG,Highway-MPG,Price
alfa-romero,3,convertible,4,21,27,13495
alfa-romero,3,convertible,4,21,27,16500
alfa-romero,1,hatchback,6,19,26,16500
audi,2,sedan,4,24,30,13950
audi,2,sedan,5,18,22,17450
audi,2,sedan,5,19,25,15250
audi,1,sedan,5,19,25,17710
audi,1,suv,5,19,25,18920
audi,1,sedan,5,17,20,23875
audi,0,hatchback,5,16,22,17859
bmw,2,sedan,4,23,29,16430
bmw,0,sedan,4,23,29,16925
bmw,0,sedan,6,21,28,20970
bmw,0,sedan,6,21,28,21105
bmw,1,sedan,6,20,25,24565
bmw,0,sedan,6,16,22,30760
bmw,0,sedan,6,16,22,41315
bmw,0,sedan,6,15,20,36880
chevrolet,2,hatchback,3,47,53,5151
chevrolet,1,hatchback,4,38,43,6295
chevrolet,0,sedan,4,38,43,6575
dodge,1,hatchback,4,37,41,5572
dodge,1,hatchback,4,31,38,6377
dodge,1,hatchback,4,24,30,7957
dodge,1,hatchback,4,31,38,6229
dodge,1,sedan,4,31,38,6692
dodge,1,sedan,4,31,38,7609
dodge,1,sedan,4,24,30,8558
dodge,-1,suv,4,24,30,8921
dodge,3,hatchback,4,19,24,12964
honda,2,hatchback,4,49,54,6479
honda,2,hatchback,4,31,38,6855
honda,1,hatchback,4,38,42,5399
honda,1,hatchback,4,30,34,6529
honda,1,hatchback,4,30,34,7129
honda,0,sedan,4,30,34,7295
honda,0,suv,4,30,34,7295
honda,0,hatchback,4,27,33,7895
honda,0,hatchback,4,27,33,9095
honda,0,sedan,4,27,33,8845
honda,0,sedan,4,27,33,10295
honda,0,sedan,4,24,28,12945
honda,1,sedan,4,25,31,10345
isuzu,0,sedan,4,24,29,6785
isuzu,1,sedan,4,38,43,8916.5
isuzu,2,hatchback,4,24,29,11048
isuzu,0,sedan,4,38,43,8916.5
jaguar,0,sedan,6,15,19,32250
jaguar,0,sedan,6,15,19,35550
jaguar,0,sedan,12,13,17,36000
mazda,1,hatchback,4,30,31,5195
mazda,1,hatchback,4,31,38,6095
mazda,1,hatchback,4,31,38,6795
mazda,1,sedan,4,31,38,6695
mazda,1,sedan,4,31,38,7395
